ID,NAME,income
1,"Census Tract 1, San Diego County, California",138864
2,"Census Tract 2.01, San Diego County, California",90673
3,"Census Tract 2.02, San Diego County, California",66438
4,"Census Tract 3, San Diego County, California",69028
5,"Census Tract 4, San Diego County, California",75559
6,"Census Tract 5, San Diego County, California",71300
7,"Census Tract 6, San Diego County, California",65089
8,"Census Tract 7, San Diego County, California",79531
9,"Census Tract 8, San Diego County, California",70224
10,"Census Tract 9, San Diego County, California",60654
11,"Census Tract 10, San Diego County, California",71532
12,"Census Tract 11, San Diego County, California",75066
13,"Census Tract 12, San Diego County, California",48945
14,"Census Tract 13, San Diego County, California",63793
15,"Census Tract 14, San Diego County, California",80893
16,"Census Tract 15, San Diego County, California",76887
17,"Census Tract 16, San Diego County, California",43687
18,"Census Tract 17, San Diego County, California",50045
19,"Census Tract 18, San Diego County, California",51104
20,"Census Tract 19, San Diego County, California",97015
21,"Census Tract 20.01, San Diego County, California",142404
22,"Census Tract 20.02, San Diego County, California",114904
23,"Census Tract 21, San Diego County, California",60080
24,"Census Tract 22.01, San Diego County, California",26643
25,"Census Tract 22.02, San Diego County, California",29709
26,"Census Tract 23.01, San Diego County, California",40000
27,"Census Tract 23.02, San Diego County, California",30867
28,"Census Tract 24.01, San Diego County, California",47500
29,"Census Tract 24.02, San Diego County, California",31855
30,"Census Tract 25.01, San Diego County, California",42384
31,"Census Tract 25.02, San Diego County, California",55901
32,"Census Tract 26.01, San Diego County, California",29731
33,"Census Tract 26.02, San Diego County, California",51250
34,"Census Tract 27.02, San Diego County, California",60402
35,"Census Tract 27.03, San Diego County, California",54970
36,"Census Tract 27.05, San Diego County, California",67648
37,"Census Tract 27.07, San Diego County, California",33929
38,"Census Tract 27.08, San Diego County, California",27485
39,"Census Tract 27.09, San Diego County, California",31047
40,"Census Tract 27.10, San Diego County, California",43925
41,"Census Tract 27.11, San Diego County, California",56477
42,"Census Tract 27.12, San Diego County, California",40408
43,"Census Tract 28.01, San Diego County, California",40030
44,"Census Tract 28.03, San Diego County, California",50688
45,"Census Tract 28.04, San Diego County, California",74813
46,"Census Tract 29.02, San Diego County, California",52604
47,"Census Tract 29.03, San Diego County, California",65000
48,"Census Tract 29.04, San Diego County, California",35085
49,"Census Tract 29.05, San Diego County, California",44008
50,"Census Tract 30.01, San Diego County, California",76065
51,"Census Tract 30.03, San Diego County, California",66983
52,"Census Tract 30.04, San Diego County, California",48085
53,"Census Tract 31.01, San Diego County, California",53594
54,"Census Tract 31.03, San Diego County, California",61961
55,"Census Tract 31.05, San Diego County, California",70175
56,"Census Tract 31.07, San Diego County, California",72361
57,"Census Tract 31.08, San Diego County, California",73750
58,"Census Tract 31.09, San Diego County, California",88601
59,"Census Tract 31.11, San Diego County, California",42632
60,"Census Tract 31.12, San Diego County, California",70372
61,"Census Tract 31.13, San Diego County, California",74962
62,"Census Tract 31.14, San Diego County, California",104375
63,"Census Tract 31.15, San Diego County, California",60673
64,"Census Tract 32.01, San Diego County, California",56346
65,"Census Tract 32.02, San Diego County, California",51912
66,"Census Tract 32.04, San Diego County, California",73350
67,"Census Tract 32.07, San Diego County, California",85513
68,"Census Tract 32.08, San Diego County, California",49085
69,"Census Tract 32.09, San Diego County, California",63182
70,"Census Tract 32.11, San Diego County, California",70524
71,"Census Tract 32.12, San Diego County, California",93105
72,"Census Tract 32.13, San Diego County, California",108043
73,"Census Tract 32.14, San Diego County, California",66500
74,"Census Tract 33.01, San Diego County, California",47043
75,"Census Tract 33.03, San Diego County, California",32784
76,"Census Tract 33.04, San Diego County, California",38611
77,"Census Tract 33.05, San Diego County, California",25469
78,"Census Tract 34.01, San Diego County, California",61907
79,"Census Tract 34.03, San Diego County, California",42652
80,"Census Tract 34.04, San Diego County, California",37348
81,"Census Tract 35.01, San Diego County, California",40109
82,"Census Tract 35.02, San Diego County, California",33750
83,"Census Tract 36.01, San Diego County, California",37143
84,"Census Tract 36.02, San Diego County, California",53438
85,"Census Tract 36.03, San Diego County, California",45402
86,"Census Tract 38, San Diego County, California",
87,"Census Tract 39.01, San Diego County, California",34632
88,"Census Tract 39.02, San Diego County, California",36875
89,"Census Tract 40, San Diego County, California",36168
90,"Census Tract 41, San Diego County, California",48695
91,"Census Tract 42, San Diego County, California",114321
92,"Census Tract 43, San Diego County, California",72656
93,"Census Tract 44, San Diego County, California",76441
94,"Census Tract 45.01, San Diego County, California",44000
95,"Census Tract 46, San Diego County, California",57457
96,"Census Tract 47, San Diego County, California",31250
97,"Census Tract 48, San Diego County, California",32559
98,"Census Tract 49, San Diego County, California",36280
99,"Census Tract 50, San Diego County, California",27887
100,"Census Tract 51, San Diego County, California",45329
101,"Census Tract 52, San Diego County, California",52080
102,"Census Tract 53, San Diego County, California",54879
103,"Census Tract 54, San Diego County, California",90000
104,"Census Tract 55, San Diego County, California",
105,"Census Tract 56, San Diego County, California",69670
106,"Census Tract 57, San Diego County, California",38750
107,"Census Tract 58, San Diego County, California",104696
108,"Census Tract 59, San Diego County, California",69803
109,"Census Tract 60, San Diego County, California",108972
110,"Census Tract 61, San Diego County, California",95536
111,"Census Tract 62, San Diego County, California",
112,"Census Tract 63, San Diego County, California",
113,"Census Tract 65, San Diego County, California",57250
114,"Census Tract 66, San Diego County, California",51250
115,"Census Tract 68.01, San Diego County, California",68693
116,"Census Tract 68.02, San Diego County, California",73065
117,"Census Tract 69, San Diego County, California",107768
118,"Census Tract 70.02, San Diego County, California",128021
119,"Census Tract 71, San Diego County, California",116154
120,"Census Tract 72, San Diego County, California",129492
121,"Census Tract 73.01, San Diego County, California",81607
122,"Census Tract 73.02, San Diego County, California",127500
123,"Census Tract 74, San Diego County, California",79423
124,"Census Tract 75.01, San Diego County, California",66325
125,"Census Tract 75.02, San Diego County, California",72768
126,"Census Tract 76, San Diego County, California",78560
127,"Census Tract 77.01, San Diego County, California",69590
128,"Census Tract 77.02, San Diego County, California",61985
129,"Census Tract 78, San Diego County, California",71419
130,"Census Tract 79.03, San Diego County, California",59453
131,"Census Tract 79.05, San Diego County, California",84439
132,"Census Tract 79.07, San Diego County, California",71364
133,"Census Tract 79.08, San Diego County, California",65958
134,"Census Tract 79.10, San Diego County, California",70074
135,"Census Tract 80.02, San Diego County, California",132054
136,"Census Tract 80.03, San Diego County, California",107873
137,"Census Tract 80.06, San Diego County, California",94375
138,"Census Tract 81.01, San Diego County, California",84905
139,"Census Tract 81.02, San Diego County, California",128661
140,"Census Tract 82, San Diego County, California",83878
141,"Census Tract 83.01, San Diego County, California",118750
142,"Census Tract 83.03, San Diego County, California",158427
143,"Census Tract 83.05, San Diego County, California",39306
144,"Census Tract 83.06, San Diego County, California",146813
145,"Census Tract 83.07, San Diego County, California",83611
146,"Census Tract 83.10, San Diego County, California",165395
147,"Census Tract 83.11, San Diego County, California",182188
148,"Census Tract 83.12, San Diego County, California",131023
149,"Census Tract 83.13, San Diego County, California",192083
150,"Census Tract 83.24, San Diego County, California",166383
151,"Census Tract 83.27, San Diego County, California",150536
152,"Census Tract 83.28, San Diego County, California",187989
153,"Census Tract 83.29, San Diego County, California",101717
154,"Census Tract 83.30, San Diego County, California",142333
155,"Census Tract 83.31, San Diego County, California",153690
156,"Census Tract 83.33, San Diego County, California",161411
157,"Census Tract 83.35, San Diego County, California",139265
158,"Census Tract 83.36, San Diego County, California",138214
159,"Census Tract 83.37, San Diego County, California",150806
160,"Census Tract 83.39, San Diego County, California",77039
161,"Census Tract 83.40, San Diego County, California",99318
162,"Census Tract 83.41, San Diego County, California",61437
163,"Census Tract 83.43, San Diego County, California",61112
164,"Census Tract 83.44, San Diego County, California",107917
165,"Census Tract 83.45, San Diego County, California",81250
166,"Census Tract 83.46, San Diego County, California",149327
167,"Census Tract 83.47, San Diego County, California",112368
168,"Census Tract 83.48, San Diego County, California",111010
169,"Census Tract 83.49, San Diego County, California",104792
170,"Census Tract 83.50, San Diego County, California",103459
171,"Census Tract 83.51, San Diego County, California",82241
172,"Census Tract 83.52, San Diego County, California",92355
173,"Census Tract 83.53, San Diego County, California",99010
174,"Census Tract 83.54, San Diego County, California",110455
175,"Census Tract 83.55, San Diego County, California",98809
176,"Census Tract 83.56, San Diego County, California",98304
177,"Census Tract 83.57, San Diego County, California",89401
178,"Census Tract 83.58, San Diego County, California",94237
179,"Census Tract 83.59, San Diego County, California",58818
180,"Census Tract 83.60, San Diego County, California",81250
181,"Census Tract 83.61, San Diego County, California",65865
182,"Census Tract 83.62, San Diego County, California",82623
183,"Census Tract 83.63, San Diego County, California",62295
184,"Census Tract 83.64, San Diego County, California",72669
185,"Census Tract 83.65, San Diego County, California",158750
186,"Census Tract 83.66, San Diego County, California",163274
187,"Census Tract 85.01, San Diego County, California",94811
188,"Census Tract 85.02, San Diego County, California",77786
189,"Census Tract 85.03, San Diego County, California",73911
190,"Census Tract 85.04, San Diego County, California",77791
191,"Census Tract 85.05, San Diego County, California",63625
192,"Census Tract 85.06, San Diego County, California",77417
193,"Census Tract 85.07, San Diego County, California",81354
194,"Census Tract 85.09, San Diego County, California",77091
195,"Census Tract 85.10, San Diego County, California",62537
196,"Census Tract 85.11, San Diego County, California",81431
197,"Census Tract 85.12, San Diego County, California",93152
198,"Census Tract 85.13, San Diego County, California",107107
199,"Census Tract 86, San Diego County, California",47756
200,"Census Tract 87.01, San Diego County, California",71964
201,"Census Tract 87.02, San Diego County, California",78125
202,"Census Tract 88, San Diego County, California",54215
203,"Census Tract 89.01, San Diego County, California",74109
204,"Census Tract 89.02, San Diego County, California",69167
205,"Census Tract 90, San Diego County, California",63006
206,"Census Tract 91.01, San Diego County, California",113016
207,"Census Tract 91.02, San Diego County, California",41683
208,"Census Tract 91.03, San Diego County, California",81149
209,"Census Tract 91.04, San Diego County, California",102472
210,"Census Tract 91.06, San Diego County, California",74115
211,"Census Tract 91.07, San Diego County, California",64207
212,"Census Tract 92.01, San Diego County, California",67375
213,"Census Tract 92.02, San Diego County, California",84844
214,"Census Tract 93.01, San Diego County, California",68657
215,"Census Tract 93.04, San Diego County, California",79602
216,"Census Tract 93.05, San Diego County, California",95313
217,"Census Tract 93.06, San Diego County, California",85649
218,"Census Tract 94, San Diego County, California",46114
219,"Census Tract 95.02, San Diego County, California",88327
220,"Census Tract 95.04, San Diego County, California",163000
221,"Census Tract 95.05, San Diego County, California",123281
222,"Census Tract 95.06, San Diego County, California",114861
223,"Census Tract 95.07, San Diego County, California",89464
224,"Census Tract 95.09, San Diego County, California",86786
225,"Census Tract 95.10, San Diego County, California",52667
226,"Census Tract 95.11, San Diego County, California",70875
227,"Census Tract 96.02, San Diego County, California",81375
228,"Census Tract 96.03, San Diego County, California",62220
229,"Census Tract 96.04, San Diego County, California",82270
230,"Census Tract 97.03, San Diego County, California",90156
231,"Census Tract 97.04, San Diego County, California",109797
232,"Census Tract 97.05, San Diego County, California",104444
233,"Census Tract 97.06, San Diego County, California",111723
234,"Census Tract 98.01, San Diego County, California",87047
235,"Census Tract 98.02, San Diego County, California",75046
236,"Census Tract 98.04, San Diego County, California",97037
237,"Census Tract 98.05, San Diego County, California",86625
238,"Census Tract 99.01, San Diego County, California",
239,"Census Tract 99.02, San Diego County, California",
240,"Census Tract 100.01, San Diego County, California",70441
