NAME,MedianHouseIncome
"Census Tract 1, San Diego County, California",138864
"Census Tract 2.01, San Diego County, California",90673
"Census Tract 2.02, San Diego County, California",66438
"Census Tract 3, San Diego County, California",69028
"Census Tract 4, San Diego County, California",75559
"Census Tract 5, San Diego County, California",71300
"Census Tract 6, San Diego County, California",65089
"Census Tract 7, San Diego County, California",79531
"Census Tract 8, San Diego County, California",70224
"Census Tract 9, San Diego County, California",60654
"Census Tract 10, San Diego County, California",71532
"Census Tract 11, San Diego County, California",75066
"Census Tract 12, San Diego County, California",48945
"Census Tract 13, San Diego County, California",63793
"Census Tract 14, San Diego County, California",80893
"Census Tract 15, San Diego County, California",76887
"Census Tract 16, San Diego County, California",43687
"Census Tract 17, San Diego County, California",50045
"Census Tract 18, San Diego County, California",51104
"Census Tract 19, San Diego County, California",97015
"Census Tract 20.01, San Diego County, California",142404
"Census Tract 20.02, San Diego County, California",114904
"Census Tract 21, San Diego County, California",60080
"Census Tract 22.01, San Diego County, California",26643
"Census Tract 22.02, San Diego County, California",29709
"Census Tract 23.01, San Diego County, California",40000
"Census Tract 23.02, San Diego County, California",30867
"Census Tract 24.01, San Diego County, California",47500
"Census Tract 24.02, San Diego County, California",31855
"Census Tract 25.01, San Diego County, California",42384
"Census Tract 25.02, San Diego County, California",55901
"Census Tract 26.01, San Diego County, California",29731
"Census Tract 26.02, San Diego County, California",51250
"Census Tract 27.02, San Diego County, California",60402
"Census Tract 27.03, San Diego County, California",54970
"Census Tract 27.05, San Diego County, California",67648
"Census Tract 27.07, San Diego County, California",33929
"Census Tract 27.08, San Diego County, California",27485
"Census Tract 27.09, San Diego County, California",31047
"Census Tract 27.10, San Diego County, California",43925
"Census Tract 27.11, San Diego County, California",56477
"Census Tract 27.12, San Diego County, California",40408
"Census Tract 28.01, San Diego County, California",40030
"Census Tract 28.03, San Diego County, California",50688
"Census Tract 28.04, San Diego County, California",74813
"Census Tract 29.02, San Diego County, California",52604
"Census Tract 29.03, San Diego County, California",65000
"Census Tract 29.04, San Diego County, California",35085
"Census Tract 29.05, San Diego County, California",44008
"Census Tract 30.01, San Diego County, California",76065
"Census Tract 30.03, San Diego County, California",66983
"Census Tract 30.04, San Diego County, California",48085
"Census Tract 31.01, San Diego County, California",53594
"Census Tract 31.03, San Diego County, California",61961
"Census Tract 31.05, San Diego County, California",70175
"Census Tract 31.07, San Diego County, California",72361
"Census Tract 31.08, San Diego County, California",73750
"Census Tract 31.09, San Diego County, California",88601
"Census Tract 31.11, San Diego County, California",42632
"Census Tract 31.12, San Diego County, California",70372
"Census Tract 31.13, San Diego County, California",74962
"Census Tract 31.14, San Diego County, California",104375
"Census Tract 31.15, San Diego County, California",60673
"Census Tract 32.01, San Diego County, California",56346
"Census Tract 32.02, San Diego County, California",51912
"Census Tract 32.04, San Diego County, California",73350
"Census Tract 32.07, San Diego County, California",85513
"Census Tract 32.08, San Diego County, California",49085
"Census Tract 32.09, San Diego County, California",63182
"Census Tract 32.11, San Diego County, California",70524
"Census Tract 32.12, San Diego County, California",93105
"Census Tract 32.13, San Diego County, California",108043
"Census Tract 32.14, San Diego County, California",66500
"Census Tract 33.01, San Diego County, California",47043
"Census Tract 33.03, San Diego County, California",32784
"Census Tract 33.04, San Diego County, California",38611
"Census Tract 33.05, San Diego County, California",25469
"Census Tract 34.01, San Diego County, California",61907
"Census Tract 34.03, San Diego County, California",42652
"Census Tract 34.04, San Diego County, California",37348
"Census Tract 35.01, San Diego County, California",40109
"Census Tract 35.02, San Diego County, California",33750
"Census Tract 36.01, San Diego County, California",37143
"Census Tract 36.02, San Diego County, California",53438
"Census Tract 36.03, San Diego County, California",45402
"Census Tract 38, San Diego County, California",-
"Census Tract 39.01, San Diego County, California",34632
"Census Tract 39.02, San Diego County, California",36875
"Census Tract 40, San Diego County, California",36168
"Census Tract 41, San Diego County, California",48695
"Census Tract 42, San Diego County, California",114321
"Census Tract 43, San Diego County, California",72656
"Census Tract 44, San Diego County, California",76441
"Census Tract 45.01, San Diego County, California",44000
"Census Tract 46, San Diego County, California",57457
"Census Tract 47, San Diego County, California",31250
"Census Tract 48, San Diego County, California",32559
"Census Tract 49, San Diego County, California",36280
"Census Tract 50, San Diego County, California",27887
"Census Tract 51, San Diego County, California",45329
"Census Tract 52, San Diego County, California",52080
"Census Tract 53, San Diego County, California",54879
"Census Tract 54, San Diego County, California",90000
"Census Tract 55, San Diego County, California",-
"Census Tract 56, San Diego County, California",69670
"Census Tract 57, San Diego County, California",38750
"Census Tract 58, San Diego County, California",104696
"Census Tract 59, San Diego County, California",69803
"Census Tract 60, San Diego County, California",108972
"Census Tract 61, San Diego County, California",95536
"Census Tract 62, San Diego County, California",-
"Census Tract 63, San Diego County, California",-
"Census Tract 65, San Diego County, California",57250
"Census Tract 66, San Diego County, California",51250
"Census Tract 68.01, San Diego County, California",68693
"Census Tract 68.02, San Diego County, California",73065
"Census Tract 69, San Diego County, California",107768
"Census Tract 70.02, San Diego County, California",128021
"Census Tract 71, San Diego County, California",116154
"Census Tract 72, San Diego County, California",129492
"Census Tract 73.01, San Diego County, California",81607
"Census Tract 73.02, San Diego County, California",127500
"Census Tract 74, San Diego County, California",79423
"Census Tract 75.01, San Diego County, California",66325
"Census Tract 75.02, San Diego County, California",72768
"Census Tract 76, San Diego County, California",78560
"Census Tract 77.01, San Diego County, California",69590
"Census Tract 77.02, San Diego County, California",61985
"Census Tract 78, San Diego County, California",71419
"Census Tract 79.03, San Diego County, California",59453
"Census Tract 79.05, San Diego County, California",84439
"Census Tract 79.07, San Diego County, California",71364
"Census Tract 79.08, San Diego County, California",65958
"Census Tract 79.10, San Diego County, California",70074
"Census Tract 80.02, San Diego County, California",132054
"Census Tract 80.03, San Diego County, California",107873
"Census Tract 80.06, San Diego County, California",94375
"Census Tract 81.01, San Diego County, California",84905
"Census Tract 81.02, San Diego County, California",128661
"Census Tract 82, San Diego County, California",83878
"Census Tract 83.01, San Diego County, California",118750
"Census Tract 83.03, San Diego County, California",158427
"Census Tract 83.05, San Diego County, California",39306
"Census Tract 83.06, San Diego County, California",146813
"Census Tract 83.07, San Diego County, California",83611
"Census Tract 83.10, San Diego County, California",165395
"Census Tract 83.11, San Diego County, California",182188
"Census Tract 83.12, San Diego County, California",131023
"Census Tract 83.13, San Diego County, California",192083
"Census Tract 83.24, San Diego County, California",166383
"Census Tract 83.27, San Diego County, California",150536
"Census Tract 83.28, San Diego County, California",187989
"Census Tract 83.29, San Diego County, California",101717
"Census Tract 83.30, San Diego County, California",142333
"Census Tract 83.31, San Diego County, California",153690
"Census Tract 83.33, San Diego County, California",161411
"Census Tract 83.35, San Diego County, California",139265
"Census Tract 83.36, San Diego County, California",138214
"Census Tract 83.37, San Diego County, California",150806
"Census Tract 83.39, San Diego County, California",77039
"Census Tract 83.40, San Diego County, California",99318
"Census Tract 83.41, San Diego County, California",61437
"Census Tract 83.43, San Diego County, California",61112
"Census Tract 83.44, San Diego County, California",107917
"Census Tract 83.45, San Diego County, California",81250
