ID,NAME,SNAP_People
1,"Census Tract 1, San Diego County, California",0
2,"Census Tract 2.01, San Diego County, California",0
3,"Census Tract 2.02, San Diego County, California",63
4,"Census Tract 3, San Diego County, California",76
5,"Census Tract 4, San Diego County, California",27
6,"Census Tract 5, San Diego County, California",38
7,"Census Tract 6, San Diego County, California",50
8,"Census Tract 7, San Diego County, California",25
9,"Census Tract 8, San Diego County, California",89
10,"Census Tract 9, San Diego County, California",212
11,"Census Tract 10, San Diego County, California",87
12,"Census Tract 11, San Diego County, California",100
13,"Census Tract 12, San Diego County, California",358
14,"Census Tract 13, San Diego County, California",115
15,"Census Tract 14, San Diego County, California",41
16,"Census Tract 15, San Diego County, California",49
17,"Census Tract 16, San Diego County, California",230
18,"Census Tract 17, San Diego County, California",69
19,"Census Tract 18, San Diego County, California",221
20,"Census Tract 19, San Diego County, California",47
21,"Census Tract 20.01, San Diego County, California",9
22,"Census Tract 20.02, San Diego County, California",6
23,"Census Tract 21, San Diego County, California",331
24,"Census Tract 22.01, San Diego County, California",288
25,"Census Tract 22.02, San Diego County, California",330
26,"Census Tract 23.01, San Diego County, California",181
27,"Census Tract 23.02, San Diego County, California",796
28,"Census Tract 24.01, San Diego County, California",332
29,"Census Tract 24.02, San Diego County, California",282
30,"Census Tract 25.01, San Diego County, California",348
31,"Census Tract 25.02, San Diego County, California",318
32,"Census Tract 26.01, San Diego County, California",304
33,"Census Tract 26.02, San Diego County, California",244
34,"Census Tract 27.02, San Diego County, California",291
35,"Census Tract 27.03, San Diego County, California",212
36,"Census Tract 27.05, San Diego County, California",101
37,"Census Tract 27.07, San Diego County, California",487
38,"Census Tract 27.08, San Diego County, California",510
39,"Census Tract 27.09, San Diego County, California",502
40,"Census Tract 27.10, San Diego County, California",280
41,"Census Tract 27.11, San Diego County, California",77
42,"Census Tract 27.12, San Diego County, California",255
43,"Census Tract 28.01, San Diego County, California",22
44,"Census Tract 28.03, San Diego County, California",146
45,"Census Tract 28.04, San Diego County, California",38
46,"Census Tract 29.02, San Diego County, California",233
47,"Census Tract 29.03, San Diego County, California",70
48,"Census Tract 29.04, San Diego County, California",223
49,"Census Tract 29.05, San Diego County, California",200
50,"Census Tract 30.01, San Diego County, California",190
51,"Census Tract 30.03, San Diego County, California",227
52,"Census Tract 30.04, San Diego County, California",249
53,"Census Tract 31.01, San Diego County, California",131
54,"Census Tract 31.03, San Diego County, California",206
55,"Census Tract 31.05, San Diego County, California",149
56,"Census Tract 31.07, San Diego County, California",78
57,"Census Tract 31.08, San Diego County, California",160
58,"Census Tract 31.09, San Diego County, California",56
59,"Census Tract 31.11, San Diego County, California",447
60,"Census Tract 31.12, San Diego County, California",270
61,"Census Tract 31.13, San Diego County, California",128
62,"Census Tract 31.14, San Diego County, California",45
63,"Census Tract 31.15, San Diego County, California",499
64,"Census Tract 32.01, San Diego County, California",145
65,"Census Tract 32.02, San Diego County, California",187
66,"Census Tract 32.04, San Diego County, California",40
67,"Census Tract 32.07, San Diego County, California",101
68,"Census Tract 32.08, San Diego County, California",328
69,"Census Tract 32.09, San Diego County, California",72
70,"Census Tract 32.11, San Diego County, California",76
71,"Census Tract 32.12, San Diego County, California",97
72,"Census Tract 32.13, San Diego County, California",50
73,"Census Tract 32.14, San Diego County, California",157
74,"Census Tract 33.01, San Diego County, California",304
75,"Census Tract 33.03, San Diego County, California",338
76,"Census Tract 33.04, San Diego County, California",334
77,"Census Tract 33.05, San Diego County, California",543
78,"Census Tract 34.01, San Diego County, California",250
79,"Census Tract 34.03, San Diego County, California",233
80,"Census Tract 34.04, San Diego County, California",185
81,"Census Tract 35.01, San Diego County, California",276
82,"Census Tract 35.02, San Diego County, California",332
83,"Census Tract 36.01, San Diego County, California",194
84,"Census Tract 36.02, San Diego County, California",150
85,"Census Tract 36.03, San Diego County, California",150
86,"Census Tract 38, San Diego County, California",0
87,"Census Tract 39.01, San Diego County, California",275
88,"Census Tract 39.02, San Diego County, California",200
89,"Census Tract 40, San Diego County, California",299
90,"Census Tract 41, San Diego County, California",211
91,"Census Tract 42, San Diego County, California",52
92,"Census Tract 43, San Diego County, California",85
93,"Census Tract 44, San Diego County, California",64
94,"Census Tract 45.01, San Diego County, California",135
95,"Census Tract 46, San Diego County, California",23
96,"Census Tract 47, San Diego County, California",86
97,"Census Tract 48, San Diego County, California",265
98,"Census Tract 49, San Diego County, California",298
99,"Census Tract 50, San Diego County, California",150
100,"Census Tract 51, San Diego County, California",395
101,"Census Tract 52, San Diego County, California",409
102,"Census Tract 53, San Diego County, California",79
103,"Census Tract 54, San Diego County, California",78
104,"Census Tract 55, San Diego County, California",0
105,"Census Tract 56, San Diego County, California",170
106,"Census Tract 57, San Diego County, California",55
107,"Census Tract 58, San Diego County, California",31
108,"Census Tract 59, San Diego County, California",7
