TJ_Name,Street_Address,City,State
Oceanside,2570 Vista Way ,Oceanside,CA
Carlsbad,2629 Gateway Rd ,Carlsbad,CA
Escondido,1885 S Centre City Pkwy ,Escondido,CA
Encinitas,115 N El Camino Real ,Encinitas,CA
Del Mar,13480 Highlands Place ,San Diego,CA
Carmel Mtn Ranch,11955 Carmel Mountain Rd ,San Diego,CA
Scripps Ranch,9850 Hilbert St ,San Diego,CA
La Jolla,8657 Villa La Jolla Dr,La Jolla,CA
Pacific Beach,1640 Garnet Ave ,San Diego,CA
Point Loma,2401 Truxtun Rd ,San Diego,CA
Mission Valley,1072 Camino Del Rio North ,San Diego,CA
Hillcrest,1090 University Avenue ,San Diego,CA
SDSU,5140 College Ave ,San Diego,CA
La Mesa,5495 Grossmont Center Dr,La Mesa,CA
Chula Vista,878 Eastlake Pkwy ,Chula Vista,
